"","ip","date","time","cik","accession","extention","size","frequencyCounter","cikDownloaded","LM"
"378","24.145.213.beh","2011-02-11",1297435727,800459,"0000800459-11-000006","xslF345X03/edgar.xml",21793,232,175,"robot"
"379","24.145.213.beh","2011-02-11",1297435679,1311486,"0001480713-11-000003","xslF345X03/primary_doc.xml",31633,232,175,"robot"
"380","24.145.213.beh","2011-02-11",1297435642,1044082,"0001181431-11-009101","xslF345X03/rrd300864.xml",18555,232,175,"robot"
"381","24.145.213.beh","2011-02-11",1297435623,1326380,"0000950138-11-000103","xslF345X03/edgar.xml",17509,232,175,"robot"
"382","24.145.213.beh","2011-02-11",1297435614,1031623,"0001181431-11-008885","xslF345X03/rrd300796.xml",17067,232,175,"robot"
"383","24.145.213.beh","2011-02-11",1297435608,924515,"0001121781-11-000033","xslF345X03/primary_doc.xml",17917,232,175,"robot"
"384","24.145.213.beh","2011-02-11",1297435591,828750,"0001209191-11-008405","xslF345X03/doc4.xml",18251,232,175,"robot"
"385","24.145.213.beh","2011-02-11",1297435576,42542,"0001356193-11-000004","xslF345X03/edgar.xml",24313,232,175,"robot"
"386","24.145.213.beh","2011-02-11",1297435567,769993,"0001209191-11-008567","xslF345X03/c12079_4x0.xml",38330,232,175,"robot"
"387","24.145.213.beh","2011-02-11",1297435554,814904,"0001140361-11-007974","xslF345X03/doc1.xml",18011,232,175,"robot"
"388","24.145.213.beh","2011-02-11",1297435546,1344907,"0001179110-11-002353","xslF345X03/edgar.xml",18265,232,175,"robot"
"389","128.59.154.hee","2011-02-11",1297435544,43300,"0000950157-11-000132","sc13da.htm",273800,9,4,"human"
"390","24.145.213.beh","2011-02-11",1297435536,41023,"0001140361-11-007949","xslF345X03/doc1.xml",30632,232,175,"robot"
"391","24.145.213.beh","2011-02-11",1297435518,1131324,"0001209191-11-008598","xslF345X03/doc4.xml",21283,232,175,"robot"
"392","24.145.213.beh","2011-02-11",1297435494,40417,"0000040417-11-000050","xslF345X03/primary_doc.xml",18405,232,175,"robot"
"393","24.145.213.beh","2011-02-11",1297435467,886128,"0001225208-11-005337","xslF345X03/doc4.xml",17388,232,175,"robot"
"394","173.200.100.dda","2011-02-11",1297435456,1127579,"0001193125-11-021943","ds1a.htm",2293573,30,25,"human"
"395","24.145.213.beh","2011-02-11",1297435444,37996,"0001209191-11-008418","xslF345X03/doc4.xml",35653,232,175,"robot"
"396","24.145.213.beh","2011-02-11",1297435431,719402,"0001389606-11-000005","xslF345X03/primary_doc.xml",17182,232,175,"robot"
"397","24.145.213.beh","2011-02-11",1297435417,712537,"0001229952-11-000008","xslF345X03/primary_doc.xml",20923,232,175,"robot"
"398","24.145.213.beh","2011-02-11",1297435392,798941,"0001181431-11-009066","xslF345X03/rrd300734.xml",36809,232,175,"robot"
"399","24.145.213.beh","2011-02-11",1297435364,944745,"0001209191-11-008254","xslF345X03/doc4.xml",19473,232,175,"robot"
"400","24.145.213.beh","2011-02-11",1297435344,723594,"0001181431-10-055214","xslF345X03/rrd290874.xml",19867,232,175,"robot"
"401","24.145.213.beh","2011-02-11",1297435336,723594,"0001181431-10-056583","xslF345X03/rrd291667.xml",19347,232,175,"robot"
"402","24.145.213.beh","2011-02-11",1297435321,723594,"0001181431-10-061415","xslF345X03/rrd294241.xml",19659,232,175,"robot"
"403","24.145.213.beh","2011-02-11",1297435307,723594,"0001181431-11-000008","xslF345X03/rrd295855.xml",19142,232,175,"robot"
"404","24.145.213.beh","2011-02-11",1297435302,723594,"0001181431-11-008851","xslF345X03/rrd300667.xml",19142,232,175,"robot"
"405","24.145.213.beh","2011-02-11",1297435268,723594,"0001181431-11-008851","xslF345X03/rrd300667.xml",19142,232,175,"robot"
"406","24.145.213.beh","2011-02-11",1297435257,1083643,"0001140361-11-007681","xslF345X03/doc1.xml",18504,232,175,"robot"
"407","24.145.213.beh","2011-02-11",1297435246,1044321,"0001044321-11-000050","xslF345X03/primary_doc.xml",18495,232,175,"robot"
"408","24.145.213.beh","2011-02-11",1297435237,813781,"0001104659-11-006525","xslF345X03/a4.xml",40222,232,175,"robot"
"409","24.145.213.beh","2011-02-11",1297435229,866706,"0001140361-11-007927","xslF345X03/doc1.xml",26990,232,175,"robot"
"410","24.145.213.beh","2011-02-11",1297435219,33002,"0001200991-11-000001","xslF345X03/primary_doc.xml",19321,232,175,"robot"
"411","24.145.213.beh","2011-02-11",1297435214,850460,"0001209191-11-008363","xslF345X03/doc4.xml",19601,232,175,"robot"
"412","24.145.213.beh","2011-02-11",1297435205,808326,"0001127602-11-004880","xslF345X03/form4.xml",18751,232,175,"robot"
"413","24.145.213.beh","2011-02-11",1297435198,1352819,"0001181431-11-008917","xslF345X03/rrd300854.xml",24318,232,175,"robot"
"414","24.145.213.beh","2011-02-11",1297435186,31277,"0001209191-11-008511","xslF345X03/doc4.xml",22340,232,175,"robot"
"415","24.145.213.beh","2011-02-11",1297435181,918646,"0001181431-11-009135","xslF345X03/rrd300468.xml",19719,232,175,"robot"
"416","24.145.213.beh","2011-02-11",1297435153,715957,"0001225208-11-005348","xslF345X03/doc4.xml",18112,232,175,"robot"
"417","24.145.213.beh","2011-02-11",1297435144,949039,"0001209191-11-008366","xslF345X03/doc4.xml",19929,232,175,"robot"
"418","24.145.213.beh","2011-02-11",1297435135,892160,"0001088020-11-000008","xslF345X03/primary_doc.xml",17919,232,175,"robot"
"419","24.145.213.beh","2011-02-11",1297435122,1407450,"0001179110-11-002429","xslF345X03/edgar.xml",20040,232,175,"robot"
"420","24.145.213.beh","2011-02-11",1297435104,1222808,"0001490906-11-000015","xslF345X03/primary_doc.xml",19513,232,175,"robot"
"421","24.145.213.beh","2011-02-11",1297435093,26324,"0000950117-11-000139","xslF345X03/cfp_18966.xml",18314,232,175,"robot"
"422","24.145.213.beh","2011-02-11",1297435086,26172,"0001225208-11-005323","xslF345X03/doc4.xml",17545,232,175,"robot"
"423","24.145.213.beh","2011-02-11",1297435067,1373485,"0001419496-11-000001","xslF345X03/primary_doc.xml",19264,232,175,"robot"
"424","24.145.213.beh","2011-02-11",1297435054,1070985,"0001209191-11-008380","xslF345X03/doc4.xml",19448,232,175,"robot"
"425","24.145.213.beh","2011-02-11",1297435048,1046257,"0001127602-11-004720","xslF345X03/form4.xml",19457,232,175,"robot"
"426","24.145.213.beh","2011-02-11",1297435009,715446,"0001140361-11-007965","xslF345X03/doc1.xml",18999,232,175,"robot"
"427","24.145.213.beh","2011-02-11",1297434996,715446,"0001140361-11-007969","xslF345X03/doc1.xml",19017,232,175,"robot"
"428","24.145.213.beh","2011-02-11",1297434986,29806,"0001140361-11-007709","xslF345X03/doc1.xml",26159,232,175,"robot"
"429","24.145.213.beh","2011-02-11",1297434975,23197,"0001213265-11-000006","xslF345X03/edgar.xml",23159,232,175,"robot"
"430","24.145.213.beh","2011-02-11",1297434970,22444,"0001253467-11-000042","xslF345X03/edgardoc.xml",19916,232,175,"robot"
"431","24.145.213.beh","2011-02-11",1297434956,1009976,"0001209191-11-008276","xslF345X03/doc4.xml",18850,232,175,"robot"
